Data,Module,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,Total,Color,Status,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSM 01,AL01,40260,40260,40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL02,40260,40260,40260,,,,,40260,40260,40260,40260,40260,,,40260,40260 & 40255,40255,40255,40255,,,40255 & 40245,40245,40245,40245,40245,,,40245,40245 & 40250,40250,,,,,,,,,,,,40250,40250,40250 & 40245,40245,40245,40245 & 40255,,40255,40255,40255,40255,40255,,,,,Repeat,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL05,45355 & 45250,45250,TH9561,,,,,TH7545,TH7545,TH7545,TH7545,TH7545,,,TH7545,TH7545,TH7545,TH7545,TH7545,,,TH7545,TH7545,TH7545,TH7545,TH7545,,,TH7545,TH7545,TH7545,TH9561,,,,TH9561,TH9561,TH9561,TH9561,TH9561,TH9561,,TH9561,TH9561,TH9561,TH9561,TH9561,TH9561,,TH9561,TH9561,TH9561,TH9561,TH9561 & TH7545,TH7545,,,,Re-repeat,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL06,62390,62390,62390 & 62385,,,,,62385,62385,62385 & 61256,61256,61256,,,61256,61256,61256,,,,,61256,61256,61256,61256,61256 & 62385,,,62385,62385,62385,62385,,,,62385,62385 & 62380,62380,62380,62380,62380,,62380,62380 & 62390,62390,62390,62390,62390,,62390,62390,,,62390,,,,,SS Flat,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL08,45385,45385 & 45385 & 45385,45385,,,,,32050,62380 & 61246,61246,61246,61246,,,61246,61246,61246,61246,61246,,,61246,61246,61246 & 61266,61266,61266,,,61266,61266,61266 & 32050,32050,,,,32050,32050,32050,32050,32050,32050,,,,W9365R,W9365R,W9365R,W9365R,,W9365R,W9365R,W9365R,W9365R,W9365R,,,,,Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL09,45535,45535,45535 & 45325,,,,,45325,45325,45325,45325,45325,,,45325,45325,45325,45325,45325,,,45325 & 45535,45535,45535 & 45355,45355,45355,,,45355 & 41965,41965,41965,41965,,,,41965,41965 & 45390,45390,45390,,,,,,,,,45235,,45235,45235,45235,45235,45235,,,,,Un-Defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL10,41880,,,,,,,32120,32120,32120,32120,32120,,,32120,32120,32120 & 32045,32045,32045,,,32045 & 32130,32130,32130,32130,32130,,,32130,32130,32130,32130,,,,32130 & 32135,32125,32125,32125,32125,64810,,64810,64810,64810 & 40510,40510,40510,40510,,40510,40510,40510,41935,41935,,,,,Multiple ladders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL12,45355,45355 & 45160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL13,X000009002,X000009002,X000009002,,,,,X000009002,X000009002,X000009002,X000009002,X000009002 & 45250,,,45250,45250,,,,,,,,,,,,,,X000009002,X000009002,X000009002,,,,X000009002,X000009002,X000009002,X000009002,X000009002,X000009002,,X000009002,X000007731,X000007731,X000007731,X000007731,X000007731,,X000007731,X000007731,X000007731,X000007731,X000007731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub Total,1,1,3,0,0,0,0,3,2,1,0,1,0,0,0,1,1,0,0,0,0,3,0,2,0,1,0,0,1,2,1,1,0,0,0,1,3,0,0,0,1,0,0,2,3,0,0,2,0,0,0,0,1,1,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSM 02,AL15,45235,45235,45235,,,,,45235 & 45765,45765,45765,45765,45765,,,45765,45765,45765,45765,45765 & 66316,,,66316,66316,66316,66316,66316,,,66316,66316 & 66670,66670,66670,,,,66670,66670,66670 & 24827,24827,24827,24811,,24811,24811 & W6290R,W6290R,W6290R,W6290R,W6290R,,W6290R,W6290R,W6290R,W6290R,W6290R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL16,45235,45235,45235,,,,,45235,45235,45235,45235,45235 & 45355,,,45355,45355,45355,45355 & 24885,24885,,,24885,24885,24885,24885 & 24845,24845,,,24845,24845,24845 & A0477M,A0477M & A0191M,,,,A0191M,A0191M,A0191M,A0191M,A0191M,A0191M,,A0191M,A0191M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AL17,21975,21975,21975,,,,,21975 & 24811,24811,24811,24811,,,,ZA-Pant,ZA-Pant & 59060,59060,59060,59060,,,59060,59060,59060,59060,59060,,,59060,59060,59060,59060,,,,59060,59060 & 58495,58495,58495,58495,58495,,58495,58495,58495,58495,58495,58495,,58495,58495,58495 & 59060,59060,59060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
