Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
AL01,Patagonia,40260,33.1,33.1,1000987968,50,Stitch,WLWT,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455331,JK3NBODTOSFFZPFQSZBH0V0L,WLWT,X014,10/21/23,-,1700,1751,451,451,9/21/23,12:38 PM,9/27/23,90,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,102,-,-,102,102,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::50
Daily Prod,AL01,40260,33.1,33.1,,,,,,,,,,,,,,,,,-,,,,451,9/21/23,0.526388888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,102,-,-,102,102,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Efficiency,AL01,40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,0.74,-,-,0.74,0.74,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL02,Patagonia,40255,33.61,33.61,1000975993,20,Stitch,BUGR,1,-,-,-,Hoody Baselayer,2023_3_,AAT,452684,JK3NBODTOSFF3PFQSZBH0V0L,BUGR,X014,9/30/23,-,1000,1030,32,32,9/11/23,8:26 PM,9/11/23,32,20230730,PPD,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000975993::20
AL02,Patagonia,40255,33.61,33.61,1000987980,10,Stitch,BLK,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,BLK,X014,10/31/23,-,2375,2446,24,24,9/14/23,9:11 AM,9/14/23,24,20230822,PPD,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::10
AL02,Patagonia,40255,33.61,33.61,1000987980,20,Stitch,BUGR,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,BUGR,X014,10/31/23,-,1401,1443,11,11,9/15/23,12:47 PM,9/15/23,11,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::20
AL02,Patagonia,40255,33.61,33.61,1000987980,30,Stitch,LMBE,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,LMBE,X014,10/31/23,-,1600,1648,44,44,9/18/23,6:17 PM,9/18/23,44,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::30
AL02,Patagonia,40255,33.61,33.61,1000987980,40,Stitch,NUVG,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,NUVG,X014,10/31/23,-,3801,3915,435,435,9/21/23,5:22 PM,9/22/23,218,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::40
AL02,Patagonia,40260,33.1,33.1,1000987968,10,Stitch,BLK,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,BLK,X014,10/21/23,-,499,514,514,514,9/22/23,6:52 AM,9/22/23,514,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::10
AL02,Patagonia,40260,33.1,33.1,1000987968,20,Stitch,LMBE,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,LMBE,X014,10/21/23,-,1150,1185,1185,1185,9/22/23,1:59 PM,9/25/23,592,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,631,-,-,554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::20
