Module,Customer,Style,Total SMV,Sewing SMV,Product Type,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,FIH,1,9/4/23,9/5/23,9/6/23,9/7/23,9/8/23,9/9/23,9/10/23,9/11/23,9/12/23,9/13/23,9/14/23,9/15/23,9/16/23,9/17/23,9/18/23,9/19/23,9/20/23,9/21/23,9/22/23,9/23/23,9/24/23,9/25/23,9/26/23,9/27/23,9/28/23,9/29/23,9/30/23,10/1/23,10/2/23,10/3/23,10/4/23,10/5/23,10/6/23,10/7/23,10/8/23,10/9/23,10/10/23,10/11/23,10/12/23,10/13/23,10/14/23,10/15/23,10/16/23,10/17/23,10/18/23,10/19/23,10/20/23,10/21/23,10/22/23,10/23/23,10/24/23,10/25/23,10/26/23,10/27/23,10/28/23,10/29/23,10/30/23,10/31/23,11/1/23,11/2/23,11/3/23,11/4/23,11/5/23,11/6/23,11/7/23,11/8/23,11/9/23,11/10/23,11/11/23,11/12/23,11/13/23,11/14/23,11/15/23,11/16/23,11/17/23,11/18/23,11/19/23,11/20/23,11/21/23,11/22/23,11/23/23,11/24/23,11/25/23,11/26/23,11/27/23,11/28/23,11/29/23,11/30/23,12/1/23,12/2/23,12/3/23,12/4/23,12/5/23,12/6/23,12/7/23,12/8/23,12/9/23,12/10/23,12/11/23,12/12/23,12/13/23,12/14/23,12/15/23,12/16/23,12/17/23,12/18/23,12/19/23,12/20/23,12/21/23,12/22/23,12/23/23,12/24/23,12/25/23,12/26/23,12/27/23,12/28/23,12/29/23,12/30/23,12/31/23,SOLI
Daily Prod,AL01,40260,33.1,33.1,,,,,,-,,,,451,9/21/23,0.526388888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,102,-,-,102,102,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Efficiency,AL01,40260,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,0.74,-,-,0.74,0.74,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL02,Patagonia,40245,24.83,24.83,,,,,,-,,,,12850,10/16/23,0.288888888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,888,1173,1278,1384,-,-,1489,733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1194,1660,1678,1288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL02,Patagonia,40250,24.56,24.56,,,,,,-,,,,5331,10/24/23,0.355555555555556,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,855,1050,-,-,-,-,-,-,-,-,-,-,-,1291,1643,492,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL02,Patagonia,40255,33.61,33.61,,,,,,-,,,,26729,9/11/23,0.272916666666667,,,,PPD,-,-,-,-,-,-,-,32,-,-,24,11,-,-,44,-,-,363,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,773,1243,1244,1244,-,-,1059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,386,379,604,848,962,-,-,1044,1126,1156,1040,1040,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1068,1109,1109,1109,-,-,775,-,1148,1272,1272,-,-,-,-,1272,1165,-,-,-,
AL02,Patagonia,40260,33.1,33.1,,,,,,-,,,,25138,9/22/23,0.270138888888889,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1145,-,-,1233,1273,1226,-,-,-,-,1237,1238,1238,1238,1238,-,-,1238,468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,319,-,726,1098,1098,1098,1120,1126,-,1126,1126,1126,1126,-,-,-,1126,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108,-,-,-,
Daily Prod,AL02,-,31.55,31.55,,,,,,-,,,,70048,9/11/23,0.270138888888889,,,,PPD,-,-,-,-,-,-,-,32,-,-,24,11,-,-,44,-,-,363,1217,-,-,1233,1273,1226,-,-,-,-,1237,1238,1238,1238,1238,-,-,1238,1241,1243,1244,1244,-,-,1144,888,1173,1278,1384,-,-,1489,1588,1050,-,-,-,-,-,-,-,-,-,-,-,1291,1643,1686,1660,1678,1301,-,386,379,604,848,962,-,-,1044,1126,1156,1040,1040,1045,-,726,1098,1098,1098,1120,1126,-,1126,1126,1126,1126,-,-,-,1126,1110,1109,1109,1109,-,-,775,-,1148,1272,1272,-,-,-,-,1272,1273,-,-,-,
Efficiency,AL02,-,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,0.02,-,-,0.01,0.01,-,-,0.03,-,-,0.22,0.74,-,-,0.74,0.77,0.74,-,-,-,-,0.78,0.78,0.78,0.78,0.78,-,-,0.78,0.79,0.8,0.8,0.8,-,-,0.72,0.42,0.56,0.61,0.66,-,-,0.71,0.75,0.49,-,-,-,-,-,-,-,-,-,-,-,0.58,0.74,0.76,0.75,0.76,0.59,-,0.24,0.23,0.37,0.52,0.59,-,-,0.64,0.69,0.71,0.64,0.64,0.64,-,0.66,0.66,0.66,0.66,0.68,0.68,-,0.68,0.68,0.68,0.68,-,-,-,0.68,0.68,0.68,0.68,0.68,-,-,0.48,-,0.7,0.78,0.78,-,-,-,-,0.78,0.78,-,-,-,
AL05,Patagonia,45205,8.7,8.7,,,,,,-,,,,1,9/4/23,0.855555555555556,,,,PPD,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
AL05,Patagonia,45250,7.98,7.98,,,,,,-,,,,2306,9/15/23,0.358333333333333,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,420,1846,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
