FACTORY,EffectiveDate,TEAM,STYLE,DefectName,Intensity,Quantity
CMCD,2023-04-01 00:00,T16,11 MnST33 2089F3-AU23,501 - OPEN SEAM,Critical,1
CMCD,2023-04-01 00:00,SERIYUNKA4,11 LINUL6 6898048G2-AW22,509.2 - FLIPPING UP,Major,1
CMCD,2023-04-01 00:00,T01,11 MnST33 8000E3-SU23,414 - SHADING WITHIN PRODUCT OUTSIDE SPECIFICATION,Major,1
CMCD,2023-04-01 00:00,T16,11 MnST33 2089F3-AU23,502 - SEAMS TENSION INCORRECT (PUCKERED / GRINNING / ROPING),Major,3
CMCD,2023-04-01 00:00,T16,11 MnST33 2089F3-AU23,599.12 - MEASUREMENT OUT,Major,3
CMCD,2023-04-01 00:00,SERIYUNKA3,11 LINUL6 7188110G2-AW22,302.2 - STAINED (DIRTY MARKS),Minor,2
CMCD,2023-04-01 00:00,SERIYUNKA3,11 LINUL6 7188110G2-AW22,599.21 - HIGH LOW,Minor,1
CMCD,2023-04-01 00:00,T01,11 MnST33 8000E3-SU23,302.2 - STAINED (DIRTY MARKS),Minor,1
CMCD,2023-04-01 00:00,T01,11 MnST33 8000E3-SU23,500.1 - UNCUT THREAD LESS THAN 2MM,Minor,2
CMCD,2023-04-01 00:00,T02,11 OYSUL4 0105-2D3-SS23,500.1 - UNCUT THREAD LESS THAN 2MM,Minor,1
CMCD,2023-04-01 00:00,T02,11 OYSUL4 0105-2D3-SS23,599.3 - RAW EDGE,Minor,1
CMCD,2023-04-01 00:00,T03,11 MnST52 8520BE3-SU23,500.1 - UNCUT THREAD LESS THAN 2MM,Minor,1
CMCD,2023-04-01 00:00,T04,11 LINUL6 8381405D3-SS23,500 - UNCUT THREAD MORE THAN 2MM MAJOR,Minor,2
CMCD,2023-04-01 00:00,T07,11 MnST52 8969E3-SU23,599.22 - NUMBERING STICKERS,Minor,1
CMCD,2023-04-01 00:00,T10,11 MnST33 2089F3-AU23,599.21 - HIGH LOW,Minor,1
CMCD,2023-04-01 00:00,T11,11 MnST33 2089F3-AU23,500.1 - UNCUT THREAD LESS THAN 2MM,Minor,1
CMCD,2023-04-01 00:00,T11,11 MnST33 2089F3-AU23,599.23 - LOOSE THREAD,Minor,1
CMCD,2023-04-01 00:00,T12,11 OYSUL4 0105-2D3-SS23,500.1 - UNCUT THREAD LESS THAN 2MM,Minor,1
CMCG,2023-04-01 00:00,TEAM 12,11 DEC1SK 117080SD3-SS23,599.1 - MISSING OPERATION,Critical,1
CMCG,2023-04-01 00:00,TEAM 01,11 DEC1SK 340154D3-SS23,508.3 - ROPING,Major,1
CMCG,2023-04-01 00:00,TEAM 01,11 DEC1SK 340154D3-SS23,599.12 - MEASUREMENT OUT,Major,1
CMCG,2023-04-01 00:00,TEAM 05,11 MnST57 8576F3-AU23,508.2 - UNEVEN JOINTS,Major,1
CMCG,2023-04-01 00:00,TEAM 08,11 MnST57 4072F3-AU23,500 - UNCUT THREAD MORE THAN 2MM,Major,1
CMCG,2023-04-01 00:00,TEAM 09,11 NEXLK1 T40843G3-AW23,508 - UNEVEN HEMS,Major,1
CMCG,2023-04-01 00:00,TEAM 09,11 NEXLK1 T40843G3-AW23,508.2 - UNEVEN JOINTS,Major,1
CMCG,2023-04-01 00:00,TEAM 09,11 NEXLK1 T40843G3-AW23,599.21 - HIGH LOW,Major,1
CMCG,2023-04-01 00:00,TEAM 09,11 NEXLK1 T40843G3-AW23,599.3 - RAW EDGE,Major,1
