Factory,GROUP,TEAM,PERMANENT,CASUAL,F.PERMANT,F.CASUAL,LC. TYPE,CUSTOMER,STYLE,ITEM ID,STYLE FAMILY,SMV,DAY,WORK HRS,AVA. DIRECT HRS,FC AVA. DIRECT HRS,PROJECTED HRS,LC. HRS,C OUT HRS,C OUT HRS PROJECTED,LC. OUTPUT,F. OUTPUT,OUTPUT,PLN. PCS,LC. EFF,FC. EFF,C OUT EFF,ILQ %,IDLE HRS,LA EFF Variance,LA HRS Variance,LA PCS Variance,Capacity,CAP Efficiency,LRN vs Capacity EFF
CMCG,CMCG,SERIYUNKA1,6,0,6,0,FN-BRA,MnS,11 MnST52 0943FC4-SP24,11 MnST52 0943FC4-SP24,BRA,8.5,10,9,53.95,54,44.63,38.844,54.54166667,9.911666667,274,315,385,300,72.00%,82.64%,101.10%,18.85%,0,29.10%,15.69766667,111,315,82.64%,-10.64%
CMCD,SERIYUNKA,SERIYUNKA3,10,0,8,0,LR-OP,LIN,11 LINUL6 6898048G2-AW22,11 LINUL6 6898048G2-AW22,KNICKERS,3.05,1,9,85.2,72,41.33,42.6,40.81916667,-0.510833333,708,813,803,470,50.00%,57.40%,47.91%,22.50%,0,-2.09%,-1.780833333,95,813,57.40%,-7.40%
CMCD,SERIYUNKA,SERIYUNKA4,15,0,15,0,LN-BRA,LIN,11 LINUL6 7737308G3-AW23,11 LINUL6 7737308G3-AW23,BRA,11.65,5,9,134.0833333,135,94.37,88.495,77.66666667,-16.70333333,459,486,400,320,66.00%,69.90%,57.92%,8.13%,0,-8.08%,-10.82833333,-59,486,69.90%,-3.90%
CMPK,SECTION 1,T01,23,0,21,0,LN-OP,DEC,11 DEC1SK 112708D3-SS23,11 DEC1SK 112708D3-SS23,SHORT,5.63,83,9,198,189,180.16,198,157.64,-22.52,2014.21,1920,1680,2006,100.00%,95.32%,79.62%,45.96%,0,-20.38%,-40.36,-334.21,1926,95.62%,4.38%
CMCD,SECTION 1-8,T01,28,0,28,0,LN-BRA,LIN,11 LINUL6 8461426D4-SS24,11 LINUL6 8461426D4-SS24,BRA,12.94,6,9,245.4166667,252,164.99,171.7916667,155.28,-9.71,818,765,720,548,70.00%,65.47%,63.27%,33.84%,0,-6.73%,-16.51166667,-98,810,69.32%,0.68%
CMPK,SECTION 1,T02,23,0,26,0,LN-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,TOP ACTIVE,5.96,8,9,207.05,234,178.8,161.499,111.75,-67.05,1837.45,1800,1125,1401,78.00%,76.41%,53.97%,35.42%,0,-24.03%,-49.749,-712.45,1800,76.41%,1.59%
CMCD,SECTION 1-8,T02,32,0,37,0,LN-OP,LIN,11 LINUL6 7188110G2-AW22,11 LINUL6 7188110G2-AW22,BRIEF,4.76,3,9,292.45,333,64.42,190.0925,69.258,4.838,2728,812,873,228,65.00%,19.34%,23.68%,17.46%,0,-41.32%,-120.8345,-1855,900,21.44%,43.56%
CMPK,SECTION 1,T03,26,0,25,0,LN-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,TOP ACTIVE,5.96,7,9,234,225,134.1,177.84,53.64,-80.46,1721.48,1350,540,1401,76.00%,59.60%,22.92%,29.33%,0,-53.08%,-124.2,-1181.48,1512,66.75%,9.25%
CMPK,SECTION 1,T04,24,0,24,0,LN-OP,DEC,11 DEC1SK 345933D4-SS24,11 DEC1SK 345933D4-SS24,TOP ACTIVE,5.96,9,9,215.4,216,151.98,172.32,98.34,-53.64,1739.6,1530,990,1515,80.00%,70.36%,45.65%,27.92%,0,-34.35%,-73.98,-749.6,1638,75.33%,4.67%
CMPK,SECTION 1,T04,24,0,0,0,LR-OP,DEC,11 DEC1SK 306441D3-SS23,11 DEC1SK 306441D3-SS23,Top & bottom,16.16,1,0,0.583333333,0,0,0.291666667,0.269333333,0.269333333,0,0,1,0,50.00%,0.00%,46.17%,0.00%,0,-3.83%,-0.022333333,1,0,0.00%,50.00%
