Module,Customer,Style,Total SMV,Sewing SMV,SO#,LI,Sewing Stage,Colour,E,P,D/W,LC,Product Type,Buy Month,Season,Customer PO,Chassis ID,CWN,PO Type,Del. Date,Rev Del Date,Ord Qty,Planned Qty,Total Planned,Strip Planned,PSD,Prod Start Time,PED,Avg Per Day,Actual Per Day,Defect Qty,Rejected Qty,Missing Qty,Defect Name,Defect Category,FIH,,9/4/2023,9/5/2023,9/6/2023,9/7/2023,9/8/2023,9/9/2023,9/10/2023,9/11/2023,9/12/2023,9/13/2023,9/14/2023,9/15/2023,9/16/2023,9/17/2023,9/18/2023,9/19/2023,9/20/2023,9/21/2023,9/22/2023,9/23/2023,9/24/2023,9/25/2023,9/26/2023,9/27/2023,9/28/2023,9/29/2023,9/30/2023,10/1/2023,10/2/2023,10/3/2023,10/4/2023,10/5/2023,10/6/2023,10/7/2023,10/8/2023,10/9/2023,10/10/2023,10/11/2023,10/12/2023,10/13/2023,10/14/2023,10/15/2023,10/16/2023,10/17/2023,10/18/2023,10/19/2023,10/20/2023,10/21/2023,10/22/2023,10/23/2023,10/24/2023,10/25/2023,10/26/2023,10/27/2023,10/28/2023,10/29/2023,10/30/2023,10/31/2023,11/1/2023,11/2/2023,11/3/2023,11/4/2023,11/5/2023,11/6/2023,11/7/2023,11/8/2023,11/9/2023,11/10/2023,11/11/2023,11/12/2023,11/13/2023,11/14/2023,11/15/2023,11/16/2023,11/17/2023,11/18/2023,11/19/2023,11/20/2023,11/21/2023,11/22/2023,11/23/2023,11/24/2023,11/25/2023,11/26/2023,11/27/2023,11/28/2023,11/29/2023,11/30/2023,12/1/2023,12/2/2023,12/3/2023,12/4/2023,12/5/2023,12/6/2023,12/7/2023,12/8/2023,12/9/2023,12/10/2023,12/11/2023,12/12/2023,12/13/2023,12/14/2023,12/15/2023,12/16/2023,12/17/2023,12/18/2023,12/19/2023,12/20/2023,12/21/2023,12/22/2023,12/23/2023,12/24/2023,12/25/2023,12/26/2023,12/27/2023,12/28/2023,12/29/2023,12/30/2023,12/31/2023,SOLI,Ladder
AL01,Patagonia,40260,33.1,33.1,1000987968,50,Stitch,WLWT,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455331,JK3NBODTOSFFZPFQSZBH0V0L,WLWT,X014,10/21/2023,-,1700,1751,451,451,9/21/2023,12:38 PM,9/27/2023,90,85,4,0,1,Polybag Suffocation Warning,Accuracy,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,102,-,-,102,102,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::50,2022 Re-Repeat
,Patagonia,40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,102,-,-,102,102,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
AL01,,40260,33.1,33.1,,,,,,,,,,,,,,,,10/21/2023,-,,,451,451,9/21/2023,12:38 PM,9/27/2023,90,88,2,0,,Dust on Garments,Cleanliness,20230825,PPD Cum:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,162,162,162,263,365,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,,
,,40260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFF Row,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,0.74,-,-,0.74,0.74,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
AL02,Patagonia,40255,33.61,33.61,1000975993,20,Stitch,BUGR,1,-,-,-,Hoody Baselayer,2023_3_,AAT,452684,JK3NBODTOSFF3PFQSZBH0V0L,BUGR,X014,9/30/2023,-,1000,1030,32,32,9/11/2023,8:26 PM,9/11/2023,32,31,1,0,,Bonding,Embellishment,20230730,PPD,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000975993::20,2022 Re-Repeat
AL02,Patagonia,40255,33.61,33.61,1000987980,10,Stitch,BLK,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,BLK,X014,10/31/2023,-,2375,2446,24,24,9/14/2023,9:11 AM,9/14/2023,24,20,4,0,,Shading between Garment/within set/Part to part,Color,20230822,PPD,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::10,2022 Re-Repeat
AL02,Patagonia,40255,33.61,33.61,1000987980,20,Stitch,BUGR,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,BUGR,X014,10/31/2023,-,1401,1443,11,11,9/15/2023,12:47 PM,9/15/2023,11,11,,,,,,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::20,2022 Re-Repeat
AL02,Patagonia,40255,33.61,33.61,1000987980,30,Stitch,LMBE,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,LMBE,X014,10/31/2023,-,1600,1648,44,44,9/18/2023,6:17 PM,9/18/2023,44,41,2,0,1,Polybag Suffocation Warning,Accuracy,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::30,2022 Re-Repeat
AL02,Patagonia,40255,33.61,33.61,1000987980,40,Stitch,NUVG,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455477,JK3NBODTOSFF3PFQSZBH0V0L,NUVG,X014,10/31/2023,-,3801,3915,435,435,9/21/2023,5:22 PM,9/22/2023,218,220,2,0,,Oil Mark,Cleanliness,20230822,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,363,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987980::40,2022 Re-Repeat
AL02,Patagonia,40260,33.1,33.1,1000987968,10,Stitch,BLK,1,-,-,-,Hoody Baselayer,2023_4_1,AAT,455348,JK3NBODTOSFFZPFQSZBH0V0L,BLK,X014,10/21/2023,-,499,514,514,514,9/22/2023,6:52 AM,9/22/2023,514,500,9,2,1,Carton Marking,Accuracy,20230825,PPD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000987968::10,2022 Re-Repeat
