Module,Total SMV,Product Type,Avg Per Day,Actual Per Day,Defect Qty,Reject Qty,Missing Qty
AL01,33.1,Hoody Baselayer,90,85,4,0,1
,0,,0,0,0,0,0
AL01,33.1,,90,88,2,0,0
,0,,0,0,0,0,0
AL02,33.61,Hoody Baselayer,32,31,1,0,0
AL02,33.61,Hoody Baselayer,24,20,4,0,0
AL02,33.61,Hoody Baselayer,11,11,0,0,0
AL02,33.61,Hoody Baselayer,44,41,2,0,1
AL02,33.61,Hoody Baselayer,218,220,2,0,0
AL02,33.1,Hoody Baselayer,514,500,12,1,2
AL02,33.1,Hoody Baselayer,592,588,4,0,0
AL02,33.1,Hoody Baselayer,515,513,1,0,1
AL02,33.1,Hoody Baselayer,774,760,14,1,0
AL02,33.1,Hoody Baselayer,629,624,5,0,0
AL02,33.1,Hoody Baselayer,386,380,6,0,0
AL02,33.1,Hoody Baselayer,721,711,10,1,0
AL02,33.1,Hoody Baselayer,850,835,15,2,0
AL02,33.1,Hoody Baselayer,549,545,4,0,0
AL02,33.1,Hoody Baselayer,747,732,15,1,0
AL02,33.1,Hoody Baselayer,541,538,3,0,0
AL02,33.61,Hoody Baselayer,515,500,15,2,0
AL02,33.61,Hoody Baselayer,490,480,10,1,0
AL02,33.61,Hoody Baselayer,876,875,1,0,0
AL02,33.61,Hoody Baselayer,773,753,20,3,0
AL02,24.83,T-shirt Baselayer,446,440,6,0,0
AL02,24.83,T-shirt Baselayer,450,395,40,4,15
AL02,24.83,T-shirt Baselayer,1005,983,22,2,0
AL02,24.83,T-shirt Baselayer,618,615,3,0,0
AL02,24.83,T-shirt Baselayer,850,815,30,4,5
AL02,24.56,T-shirt Baselayer,554,550,4,0,0
AL02,24.56,T-shirt Baselayer,798,768,29,3,1
AL02,24.56,T-shirt Baselayer,773,753,20,2,0
AL02,24.56,T-shirt Baselayer,438,400,38,3,0
AL02,24.56,T-shirt Baselayer,515,495,20,2,0
AL02,24.56,T-shirt Baselayer,695,678,17,1,0
AL02,24.56,T-shirt Baselayer,284,275,9,1,0
AL02,24.83,T-shirt Baselayer,1030,998,32,4,0
AL02,24.83,T-shirt Baselayer,541,521,20,4,0
AL02,24.83,T-shirt Baselayer,721,719,2,0,0
AL02,24.83,T-shirt Baselayer,1236,1220,16,3,0
AL02,33.61,Hoody Baselayer,172,152,20,4,0
AL02,33.61,Hoody Baselayer,258,229,29,5,0
AL02,33.61,Hoody Baselayer,464,453,11,1,0
AL02,33.61,Hoody Baselayer,631,620,11,1,0
AL02,33.61,Hoody Baselayer,876,852,24,3,0
AL02,33.61,Hoody Baselayer,773,748,25,3,0
AL02,33.1,Hoody Baselayer,652,630,22,2,0
AL02,33.1,Hoody Baselayer,618,598,20,1,0
AL02,33.1,Hoody Baselayer,412,400,10,0,2
AL02,33.1,Hoody Baselayer,824,800,20,2,4
AL02,33.1,Hoody Baselayer,530,510,19,3,1
AL02,33.1,Hoody Baselayer,504,490,14,2,0
AL02,33.1,Hoody Baselayer,515,499,16,2,0
AL02,33.1,Hoody Baselayer,659,620,30,4,9
AL02,33.1,Hoody Baselayer,484,456,28,3,0
AL02,33.61,Hoody Baselayer,515,502,13,2,0
AL02,33.61,Hoody Baselayer,611,607,4,0,0
AL02,33.61,Hoody Baselayer,803,785,18,2,0
AL02,33.61,Hoody Baselayer,504,499,5,0,0
AL02,33.61,Hoody Baselayer,504,499,5,0,0
AL02,33.61,Jacket Full Zip,961,925,34,4,2
AL02,33.61,Jacket Full Zip,850,842,8,0,0
AL02,33.61,Jacket Full Zip,772,760,12,2,0
AL02,33.1,Jacket Full Zip,108,90,18,2,0
AL02,33.1,Jacket Full Zip,0,0,0,0,0
AL02,33.1,Jacket Full Zip,0,0,0,0,0
AL02,33.1,Jacket Full Zip,0,0,0,0,0
AL02,33.1,Jacket Full Zip,0,0,0,0,0
AL02,33.1,Jacket Full Zip,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.61,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
AL02,33.1,Hoody Baselayer,0,0,0,0,0
,0,,0,0,0,0,0
AL02,24.83,,766,750,16,1,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL02,24.56,,579,563,16,1,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL02,33.61,,508,496,12,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL02,33.1,,578,562,16,1,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL02,31.55,,579,560,19,2,0
,0,,0,0,0,0,0
AL05,18.83,T-shirt,111,100,11,1,0
AL05,16.55,T-shirt,79,65,14,1,0
AL05,7.98,T-shirt Baselayer,33,20,13,1,0
AL05,8.7,T-shirt Baselayer,1,1,0,0,0
AL05,7.98,T-shirt Baselayer,40,35,5,0,0
AL05,7.98,T-shirt Baselayer,4,4,0,0,0
AL05,7.98,T-shirt Baselayer,14,14,0,0,0
AL05,7.98,T-shirt Baselayer,659,657,2,0,0
AL05,7.98,T-shirt Baselayer,1030,1006,24,2,0
AL05,7.98,T-shirt Baselayer,1133,1100,33,3,0
AL05,13.8,T-shirt,301,298,3,0,0
AL05,17.27,T-shirt,264,260,4,0,0
AL05,17.27,T-shirt,11,11,0,0,0
AL05,17.27,T-shirt,263,260,3,0,0
AL05,17.27,T-shirt,11,11,0,0,0
AL05,17.27,T-shirt,158,150,8,0,0
AL05,17.27,T-shirt,298,290,8,0,0
AL05,17.27,T-shirt,6,6,0,0,0
AL05,17.27,T-shirt,11,11,0,0,0
AL05,17.27,T-shirt,30,30,0,0,0
AL05,17.27,T-shirt,114,110,4,0,0
AL05,17.27,T-shirt,165,162,3,0,0
AL05,17.27,T-shirt,292,291,1,0,0
AL05,17.27,T-shirt,196,190,6,0,0
AL05,17.27,T-shirt,5,5,0,0,0
AL05,17.27,T-shirt,434,425,9,0,0
AL05,17.27,T-shirt,458,425,33,3,0
AL05,17.27,T-shirt Polo,80,56,24,2,0
AL05,17.27,T-shirt,44,44,0,0,0
AL05,17.27,T-shirt,6,6,0,0,0
AL05,17.27,T-shirt,73,70,3,0,0
AL05,17.27,T-shirt,214,212,2,0,0
AL05,17.27,T-shirt,533,530,3,0,0
AL05,17.27,T-shirt,6,6,0,0,0
AL05,17.27,T-shirt,42,40,2,0,0
AL05,17.27,T-shirt,533,521,12,1,0
AL05,17.27,T-shirt,916,900,16,1,0
AL05,17.27,T-shirt,200,199,1,0,0
AL05,17.27,T-shirt,926,915,11,1,0
AL05,17.27,T-shirt,401,385,16,2,0
AL05,17.27,T-shirt,694,670,24,2,0
AL05,12.66,T-shirt,709,700,9,0,0
AL05,12.66,T-shirt,6,5,0,0,1
AL05,12.66,T-shirt,217,215,2,0,0
AL05,12.66,T-shirt,1238,1208,30,4,0
AL05,12.66,T-shirt,6,6,0,0,0
AL05,12.66,T-shirt,420,396,24,2,0
AL05,12.66,T-shirt,945,940,5,0,0
AL05,12.66,T-shirt,1271,1268,3,0,0
AL05,17.27,T-shirt Crew neck,150,144,6,0,0
AL05,17.27,T-shirt Crew neck,362,350,12,1,0
AL05,17.27,T-shirt Crew neck,63,63,0,0,0
AL05,17.27,T-shirt Crew neck,79,78,1,0,0
AL05,17.27,T-shirt Crew neck,300,255,45,5,0
AL05,17.27,T-shirt Crew neck,184,180,4,0,0
AL05,17.27,T-shirt Crew neck,420,411,9,0,0
AL05,17.27,T-shirt Crew neck,287,265,22,2,0
AL05,17.27,T-shirt Crew neck,7,5,2,0,0
AL05,17.27,T-shirt Crew neck,49,49,0,0,0
AL05,17.27,T-shirt Crew neck,200,189,11,1,0
AL05,17.27,T-shirt Crew neck,4,4,0,0,0
AL05,17.27,T-shirt Crew neck,761,752,9,0,0
AL05,17.27,T-shirt Crew neck,700,666,34,2,0
AL05,17.27,T-shirt Crew neck,53,52,1,0,0
AL05,17.27,T-shirt Crew neck,210,200,10,0,0
AL05,17.27,T-shirt Crew neck,32,32,0,0,0
AL05,17.27,T-shirt Crew neck,56,55,1,0,0
AL05,17.27,T-shirt Crew neck,420,415,5,0,0
AL05,17.27,T-shirt Crew neck,210,200,10,0,0
AL05,18.83,T-shirt,206,200,6,0,0
AL05,18.83,T-shirt,148,112,36,2,0
AL05,12.66,T-shirt,506,495,11,1,0
AL05,12.66,T-shirt,434,428,6,0,0
AL05,12.66,T-shirt,302,300,2,0,0
AL05,12.66,T-shirt,372,366,6,0,0
AL05,7.98,T-shirt Baselayer,944,935,9,0,0
AL05,7.98,T-shirt Baselayer,1288,1275,13,1,0
AL05,7.98,T-shirt Baselayer,1709,1695,14,1,0
,0,,0,0,0,0,0
AL05,8.7,,1,1,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,586,575,11,1,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,944,935,9,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,14,12,2,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,7.98,,4,4,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,16.55,,79,78,1,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,18.83,,155,155,0,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,17.27,,239,236,3,0,0
,0,,0,0,0,0,0
,0,,0,0,0,0,0
AL05,12.75,,517,500,17,1,0
,0,,0,0,0,0,0
AL06,15.18,T-shirt Baselayer,164,162,2,0,0
AL06,15.18,T-shirt Baselayer,147,140,7,0,0
AL06,15.18,T-shirt Baselayer,149,140,9,0,0
AL06,18.67,Hoody Baselayer,129,122,7,0,0
AL06,18.67,Hoody Baselayer,110,100,10,1,0
AL06,18.67,Hoody Baselayer,510,508,2,0,0
AL06,18.67,Hoody Baselayer,687,680,7,0,0
AL06,18.67,Hoody Baselayer,464,460,4,0,0
AL06,18.67,Hoody Baselayer,541,538,3,0,0
AL06,15.18,T-shirt Baselayer,258,250,8,0,0
AL06,15.18,T-shirt Baselayer,515,500,15,1,0
AL06,15.18,T-shirt Baselayer,515,502,13,1,0
AL06,15.18,T-shirt Baselayer,386,385,1,0,0
